SHOW,STAR,,,,,,,,
LUCKY U RANCH,Ken Curtis,Shug Fisher,Betty Taylor,,,,,,
THE LION’S ROAR,Frederick Chase Taylor,,,,,,,,
THE MYSTERIOUS TRAVELER,Maurice Tarplin,,,,,,,,
MATINEE THEATER,Victor Jory,,,,,,,,
THE MARIO LANZA SHOW,Mario Lanza,Giselle MacKensie,,,,,,,
MELODY AND MADNESS,Jimmy Durante,,,,,,,,
MEET THE MEEKS,Forrest Lewis,Beryl Vaughn,,,,,,,
MR. ACE AND JANE,Goodman Ace,Jane Ace,John Griggs,Evelyn Varden,Pert Kelton,Eric Dressler,Cliff Hall,,
MAXINE GRAY ENTERTAINS,Maxine Gray,Alvino Rey,,,,,,,
MYRT AND MARGE,Alice Yourman,Alice Goodkin,Vinton Hayworth,Ray Hedge,Richard Keith,Helen Choate,,,
THE MAN CALLED X,Herbert Marshall,,,,,,,,
MR. PRESIDENT,Edward Arnold,Betty Lou Gerson,William Conrad,,,,,,
MR. CHAMELEON,Karl Swenson,,,,,,,,
THE MOONSTONE,James Tomlson,,,,,,,,
THE MICKEY MOUSE THEATER OF THE AIR,Walt Disney,Thelma Boardman,Stuart Buchanan,Clarence Nash,Florence Gill,,,,
THE ADVENTURES OF MAISIE,Ann Sothern,,,,,,,,
MAYOR OF THE TOWN,Lionel Barrymore,Agnus Moorehead,,,,,,,
THE MAGNIFICENT MONTAGUE,Monty Woolley,Anne Seymour,Pert Kelton,,,,,,
MY FRIEND IRMA,Marie Wilson,Cathy Lewis,John Brown,Hans Conried,Gloria Gordon,Leif Erickson,Alan Reed,,
MY FAVORITE HUSBAND,Lucille Ball,Richard Denning,Gale Gordon,Bea Benaderat,Ruth Perrott,,,,
THE MARTIN AND LEWIS SHOW,Dean Martin,Jerry Lewis,Sheldon Leonard,Ben Alexander,,,,,
THE ADVENTURES OF MICHAEL SHAYNE,Vinton Hayworth,Dorothy Donahue,,,,,,,
MR. AND MRS. BLANDINGS,Robert Cummings,Jane Wyatt,,,,,,,
MEET MISTER MCNUTLEY,Ray Milland,,,,,,,,
MEET CORLISS ARCHER,Janet Waldo,Sam Edwards,Fred Archer,Irene Tedrow,Tommy Bernard,Barbara Whiting,Arlene Becker,,
MULLIGAN’S TRAVELS,Sheldon Leonard,Bea Benaderet,Verna Felton,Sarah Selby,Ed Max,Arthur Q. Bryan,Eric Snowden,,
THE MCCOY,Howard Duff,Sheldon Leonard,,,,,,,
MCGARRY AND HIS MOUSE,Roger Pryor,Shirley Mitchell,,,,,,,
