Source,Target,Type,Label
Rhoda Williams,Robert Young,Undirected,FATHER KNOWS BEST
Rhoda Williams,Sam Edwards,Undirected,FATHER KNOWS BEST
Rhoda Williams,Ted Donaldson,Undirected,FATHER KNOWS BEST
Robert Young,Sam Edwards,Undirected,FATHER KNOWS BEST
Robert Young,Ted Donaldson,Undirected,FATHER KNOWS BEST
Sam Edwards,Ted Donaldson,Undirected,FATHER KNOWS BEST
George Barclay,Ronald Colman,Undirected,FAVORITE STORY
Harry Von Zell,Ray Perkins,Undirected,FEEN-A-MINT NATIONAL AMATEUR NIGHT
Olan Soule,Simone Simon,Undirected,FIFTH ROW CENTER
Cass Daley,Dink Trout,Undirected,FITCH BANDWAGON
Cass Daley,Larry Keating,Undirected,FITCH BANDWAGON
Dink Trout,Larry Keating,Undirected,FITCH BANDWAGON
Hal Kanner's Little Band,Jimmy Atkins,Undirected,FLIT FROLICS
Hal Kanner's Little Band,Ken Roberts,Undirected,FLIT FROLICS
Jimmy Atkins,Ken Roberts,Undirected,FLIT FROLICS
Alan Kent,Elsie Hicks,Undirected,FOLLOW THE MOON
Alan Kent,Nick Dawson,Undirected,FOLLOW THE MOON
Elsie Hicks,Nick Dawson,Undirected,FOLLOW THE MOON
Jay Jostyn,Vicki Viola,Undirected,FOREIGN ASSIGNMENT
Dan Cubberly,Jack Moyles,Undirected,FORT LARAMIE
Dan Cubberly,Raymond Burr,Undirected,FORT LARAMIE
Dan Cubberly,Vic Perrin,Undirected,FORT LARAMIE
Jack Moyles,Raymond Burr,Undirected,FORT LARAMIE
Jack Moyles,Vic Perrin,Undirected,FORT LARAMIE
Raymond Burr,Vic Perrin,Undirected,FORT LARAMIE
Jack Morrisy,Jimmy Skrogie,Undirected,FOUR KINGS AND A QUEEN
Jack Morrisy,Keener,Undirected,FOUR KINGS AND A QUEEN
Jack Morrisy,Vickie Barrie,Undirected,FOUR KINGS AND A QUEEN
Jack Morrisy,Whitey Henry,Undirected,FOUR KINGS AND A QUEEN
Jimmy Skrogie,Keener,Undirected,FOUR KINGS AND A QUEEN
