SHOW,SHOW STAR
HOLIDAY WILDE,Gloria Blondell
HOLLYWOOD MARDI GRAS,Lanny Ross
HOMICIDE Oâ€_Ã„Ã´KANE,John Heston
HOMICIDE Oâ€_Ã„Ã´KANE,Richard Le Grand
THE HONORABLE ARCHIE,Reginald Sharland
THE HONORABLE ARCHIE,Martha Wentworth
THE HONORABLE ARCHIE,Sylvia Jones
THE HONORABLE ARCHIE,Mitzie Lamar
THE HONORABLE ARCHIE,Cliff Arquette
THE HOUSE OF GLASS,Gertrude Berg
THE HOUSE OF GLASS,Joseph Buloff
THE HOUSE OF GLASS,Arnold Stang
HOWARD AND SHELTON,Tom Howard
HOWARD AND SHELTON,George Sherton
HARMONY HALL,Jerry Colonna
HARMONY HALL,Marian Morgan
HARMONY HALL,The Four Vagabonds
HERE COMES MCBRIDE,Frank Lovejoy
HARRY BABBITT SHOW,Harry Babbitt
HAP HAZARD,Edna O'Dell
HOLLYWOOD IMPRESSIONS,Lou Tobin
THE HOOFERS,Alice Smith
HOME EDITION,Robert Gardner
I WAS A COMMUNIST FOR THE FBI,Dana Andrews
I LOVE ADVENTURE,Michael Raffetto
I LOVE ADVENTURE,Barton Yarborough
I LOVE ADVENTURE,Tom Collins
I LOVE ADVENTURE,Gloria Blondell
I LOVE A MYSTERY,Michael Raffetto
I LOVE A MYSTERY, Barton Yarborough
I LOVE A MYSTERY,Gloria Blondell
INSPECTOR THORNE,Staats Cotsworth
ITâ€_Ã„Ã´S HIGGINS SIR,Harry McNaughton
ITâ€_Ã„Ã´S HIGGINS SIR,Vinton Hayworth
ITâ€_Ã„Ã´S HIGGINS SIR,Peggy Allenby
I DEAL IN CRIME,William Gargan
IMPERIAL LEADER,Douglas Kelly
I WANT A DIVORCE,Joan Blondell
I COVER THE WATERFRONT,Larry Thor
ITâ€_Ã„Ã´S ALWAYS SUNDAY,John Stevenson
ITâ€_Ã„Ã´S ALWAYS SUNDAY,Coleen Collins
ITâ€_Ã„Ã´S ALWAYS SUNDAY,Nancy McCullom
I FLY ANYTHING,Dick Haymes
I FLY ANYTHING,Georgia Ellis
I FLY ANYTHING,George Fenniman
IT HAPPENED IN HOLLYWOOD,John Conte
IT HAPPENED IN HOLLYWOOD,Martha Mears
I COVER HOLLYWOOD,Michael O'Shea
I COVER HOLLYWOOD,Georgia Ellis
ITâ€_Ã„Ã´S CHESTERFIELD TIME,Alice Faye
ITâ€_Ã„Ã´S CHESTERFIELD TIME,Hal Kemp Orchestra
ITâ€_Ã„Ã´S US AGAIN,Mark Harris
ITâ€_Ã„Ã´S US AGAIN,Zelda Rihards
ITâ€_Ã„Ã´S US AGAIN,Dorothy Francis
ITâ€_Ã„Ã´S US AGAIN,Sandra Lawrence
ISLAND VENTURE,Jerry Walter
ISLAND VENTURE, Clare Boreum
ISLAND VENTURE,Norman Gottschalk
ISLAND VENTURE,Jonathan Hale
JEFF REGAN INVESTIGATOR,Frank Graham
JEFF REGAN INVESTIGATOR,Frank Nelson
JEFF REGAN INVESTIGATOR,Jack Webb
JEFF REGAN INVESTIGATOR,Wilms Herbert
JEFF REGAN INVESTIGATOR,Paul Dubov
THE JIMMY DURANTE SHOW,Jimmy Durante
THE JIMMY DURANTE SHOW,Ruth Etting
BILLY ROSEâ€_Ã„Ã´S JUMBO,Donald Novis
BILLY ROSEâ€_Ã„Ã´S JUMBO,Gloria Grafton
BILLY ROSEâ€_Ã„Ã´S JUMBO,Charles Henderson's Singing Razorbacks
JACK ARMSTRONG THE ALL AMERICAN BOY,Charles Flynn
JACK ARMSTRONG THE ALL AMERICAN BOY,Jim Goss
THE JUDY CANOVA SHOW,Judy Canova
THE JUDY CANOVA SHOW,Johnny Desmond
THE JUDY CANOVA SHOW,Jeff Chandler
THE JUDY CANOVA SHOW,Paul Nero
THE JUDY CANOVA SHOW,Tommy Dorsey
THE JUDY CANOVA SHOW,Jimmy Dorsey
THE JUDY CANOVA SHOW,Perry Botkin
THE JUDY CANOVA SHOW,The Mello-Men
THE JUDY CANOVA SHOW,Rudy Wissler
THE JOE PENNER SHOW,Joe Penner
THE JACK PAAR SHOW,Jack Paar
THE JACK HALEY SHOW,Jack Haley
THE JAMES MELTON SHOW,James Melton
THE JAMES MELTON SHOW,Ed Wynn
JUST ENTERTAINMENT,Pat Butrum
JUST ENTERTAINMENT,Marian Morgan
JUST FOR YOU,Buddy Clark
JUST FOR YOU,Bob Eberle
THE JOHN CHARLES THOMAS SHOW,John Charles Thomas
THE JACK KIRKWOOD SHOW,Jack Kirkwood
THE JACK KIRKWOOD SHOW,Frank Nelson
THE JACK KIRKWOOD SHOW,Ruth Perrott
THE JACK KIRKWOOD SHOW,Lillian Lee
THE JACK KIRKWOOD SHOW,Gene La Valle
THE JACK KIRKWOOD SHOW,Billy Gray
THE JACK KIRKWOOD SHOW,Mel Blanc
JUMP JUMP AND THE ICE QUEEN,Mary McConnell
JUMP JUMP AND THE ICE QUEEN,Harry Hickox
JUMP JUMP AND THE ICE QUEEN,Johnny McGovern
THE ADVENTURES OF JOHNNY LUJACK,Johnny Lujack
THE JACK BERCH SHOW,Eddie Dunn
THE JACK BERCH SHOW,Tony Motolla
JASON AND THE GOLDEN FLEECE,MacDonald Carey
THE JOAN DAVIS SHOW,Joan Davis
JACK FINA ORCHESTRA,Jack Fina
JUNIOR MISS,Gale Gordon
JUNIOR MISS,Barbara Whiting
THE JOE MCDOAKS SHOW,George O'Hanlon
THE JOE MCDOAKS SHOW,Marcie McGuire
THE JOE MCDOAKS SHOW,Clifton Young
JACK SMITH SHOW,Jack Smith
JACK OAKIEâ€_Ã„Ã´S COLLEGE,Jack Oakie
JOLLY BILL AND JANE,Bill Steinke
JOLLY BILL AND JANE,Pat Pritchard
JUST OUTSIDE HOLLYWOOD,Hanley Stafford
